Name,Type,ID,Map,MapID,Xcoord,Ycoord,Spec1ID,Spec2ID,Region,Comment,Logic
42,8,5,27,4,5,5,4,4,27,2,55
Swamp: Mud Path,Pickup,0,Halloween Hill,0,194,5,24,25,Slurpy Swamp Mud,,"""Boots"""
Swamp: Bog Beast,Pickup,1,Halloween Hill,0,187,112,11,12,Halloween Hill,,
Rocky Cliffs: Upper Ledge,Pickup,2,Halloween Hill,0,2,46,69,70,Rocky Cliffs,,
Swamp: Sapling Shrine,Pickup,3,Halloween Hill,0,131,26,10,9,Slurpy Swamp Mud,,"""Boots"""
Terror Glade: South Trees,Pickup,4,Halloween Hill,0,83,145,33,34,Halloween Hill,,
Rocky Cliffs: Vine,Pickup,5,Halloween Hill,0,1,73,47,48,Rocky Cliffs,,"""Fertilizer"""
Rocky Cliffs: Grand Pharoh,Pickup,6,Halloween Hill,0,30,39,73,74,Rocky Cliffs,,
Rocky Cliffs: Rock Corner,Pickup,7,Halloween Hill,0,69,59,66,67,Rocky Cliffs,,have_bombs
Swamp: Outside Luniton,Pickup,8,Halloween Hill,0,115,70,18,19,Halloween Hill,,
Swamp: East 1,Pickup,9,Halloween Hill,0,159,85,20,21,Halloween Hill,,
Swamp: Top Left dry,Pickup,10,Halloween Hill,0,117,33,22,23,Halloween Hill,,
Swamp: East 2,Pickup,11,Halloween Hill,0,168,98,28,29,Halloween Hill,,
Woods: Above Castle,Pickup,12,Halloween Hill,0,197,161,56,57,Halloween Hill,,
Rocky Cliffs: Entrance Ledge,Pickup,13,Halloween Hill,0,16,61,49,50,Rocky Cliffs,,
Rocky Cliffs: Peak,Pickup,14,Halloween Hill,0,28,10,63,65,Rocky Cliffs,,
Woods: SW of Cabin,Pickup,15,Halloween Hill,0,134,182,97,98,Halloween Hill,,
Witch's Cabin: Bedroom,Pickup,16,The Witch's Cabin,2,27,16,1,2,The Witch's Cabin Front,,have_light_source
Witch's Cabin: Backroom,Pickup,17,The Witch's Cabin,2,22,7,3,4,The Witch's Cabin Back,,
Bonita's Cabin: Barrel Maze,Pickup,18,Bonita's Cabin,3,10,8,1,3,Bonita's Cabin,,
Bog Pit: Top Door,Pickup,19,The Bog Pit,4,19,5,1,2,The Bog Pit,,"""Skull Key"""
Bog Pit: Posts Room,Pickup,20,The Bog Pit,4,39,38,3,4,The Bog Pit,,
Bog Pit: Drippy Window,Pickup,21,The Bog Pit,4,33,6,9,10,The Bog Pit,,
Bog Pit: Green room,Pickup,22,The Bog Pit,4,3,33,7,8,The Bog Pit,,
Bog Pit: Arena,Pickup,23,The Bog Pit,4,25,48,5,11,The Bog Pit,,
Bog Pit: Sw Switch,Pickup,24,The Bog Pit,4,2,58,17,18,The Bog Pit,,
Tunnel: Swampdog Pumpkin Door,Pickup,25,Underground Tunnel,5,53,41,0,1,Underground Tunnel Top,,"""Pumpkin Key"""
Tunnel: Scratch Wall,Pickup,26,Underground Tunnel,5,57,37,13,14,Underground Tunnel Top,,have_special_weapon_bullet
Tunnel: Narrow Passage,Pickup,27,Underground Tunnel,5,26,25,4,5,Underground Tunnel Top,,
Tunnel: Top Frogs,Pickup,28,Underground Tunnel,5,50,26,7,8,Underground Tunnel Top,,
Tunnel: Torch Island,Pickup,29,Underground Tunnel,5,17,64,9,10,Underground Tunnel Mud,,"""Boots"""
Tunnel: Small Room,Pickup,30,Underground Tunnel,5,44,49,11,12,Underground Tunnel Top,,
Swamp Gas: Scratch Wall,Pickup,31,Swamp Gas Cavern,6,32,45,2,3,Swamp Gas Cavern Front,,have_special_weapon_bullet
Swamp Gas: Bat Door,Pickup,32,Swamp Gas Cavern,6,44,37,15,17,Swamp Gas Cavern Front,,"""Bat Key"""
Swamp Gas: Stair room,Pickup,33,Swamp Gas Cavern,6,3,7,23,24,Swamp Gas Cavern Back,,
Swamp Gas: Rock Prison,Pickup,34,Swamp Gas Cavern,6,43,58,18,19,Swamp Gas Cavern Front,,have_bombs
A Tiny Cabin,Pickup,35,A Tiny Cabin,7,11,16,1,2,A Tiny Cabin,,
Seer: Bedside,Pickup,36,A Cabin,8,19,15,3,4,A Cabin Seer,,
Dusty Crypt: Pumpkin Door,Pickup,37,Dusty Crypt,10,2,44,2,3,Dusty Crypt,,"""Pumpkin Key"""
Dusty Crypt: Maze,Pickup,38,Dusty Crypt,10,5,36,4,5,Dusty Crypt,,
Musty Crypt: Maze Room,Pickup,39,Musty Crypt,11,51,82,11,12,Musty Crypt,,have_special_weapon_bullet
Rusty Crypt: Vine,Pickup,40,Rusty Crypt,12,49,73,15,16,Rusty Crypt,,"""Fertilizer"""
Rusty Crypt: Boulders,Pickup,41,Rusty Crypt,12,7,97,0,1,Rusty Crypt,,
A Messy Cabin,Pickup,42,A Messy Cabin,13,13,6,1,2,A Messy Cabin,,
Under The Lake: Behind Lightning Rod,Pickup,43,Under The Lake,14,40,13,6,7,Under The Lake,,
Under The Lake: Bat Door,Pickup,44,Under The Lake,14,73,20,8,9,Under The Lake,,"""Bat Key"""
Deeper Lake: Corner,Pickup,45,Deeper Under The Lake,15,58,77,12,13,Deeper Under The Lake,,
Deeper Lake: Rhombus,Pickup,46,Deeper Under The Lake,15,51,71,10,11,Deeper Under The Lake,,
Frankenjulie's Reward,Pickup,47,Frankenjulie's Laboratory,16,15,6,3,4,Frankenjulie's Laboratory,,
Tower: Barracks,Pickup,48,Haunted Tower,17,59,29,3,4,Haunted Tower,,"""Ghost Potion"""
Tower F2: Skull Puzzle,Pickup,49,"Haunted Tower, Floor 2",18,8,5,6,7,"Haunted Tower, Floor 2",,"""Ghost Potion"""
PolterGuy's Reward,Pickup,50,Haunted Tower Roof,20,13,37,1,2,Haunted Tower Roof,,
Tower Basement: DoorDoorDoorDoorDoorDoor,Pickup,51,Haunted Basement,21,20,13,1,2,Haunted Basement,,"""Bat Key"" and ""Skull Key"" and ""Pumpkin Key"""
Abandoned Mine: Shaft,Pickup,52,Abandoned Mines,22,39,2,1,2,Abandoned Mines,,
Shrine of Bombulus: Prize,Pickup,53,The Shrine of Bombulus,23,12,3,2,3,The Shrine Of Bombulus,,
